pin_number,sw_matrix_pin_number,pin_name
1,92,VSS
2,,EN
3,,CLK
4,,DATA_SBUS6
5,,SBUS5
6,,SBUS4
7,,SBUS3
8,,SBUS2
9,,SBUS1
10,1,OTA_P_INP
11,2,OTA_P_INN
12,3,OTA_P_OUT
13,91,VDD
13,91,VDD
13,91,VDD
14,4,OTA_N_INP
15,5,OTA_N_INN
16,6,OTA_N_OUT
17,7,DCC3_N_G_L_CC
18,8,DCC3_N_G_L_CS
19,9,DCC3_N_G_R_CC
20,10,DCC3_N_G_R_CS
21,11,DCC3_N_D_L_CC
22,12,DCC3_N_D_L_CS
23,13,DCC3_N_D_R_CC
24,14,DCC3_N_D_R_CS
25,15,DCC4_N_G_L_CC
,92,
26,16,DCC4_N_G_L_CS
27,17,DCC4_N_G_R_CC
28,18,DCC4_N_G_R_CS
29,19,DCC4_N_D_L_CC
30,20,DCC4_N_D_L_CS
31,21,DCC4_N_D_R_CC
32,22,DCC4_N_D_R_CS
33,23,DCC2_N_G_L_CC
34,24,DCC2_N_G_L_CS
35,25,DCC2_N_G_R_CC
36,26,DCC2_N_G_R_CS
37,27,DCC2_N_D_L_CC
38,28,DCC2_N_D_L_CS
39,29,DCC2_N_D_R_CC
40,30,DCC2_N_D_R_CS
41,31,DCC1_N_G_L_CC
42,32,DCC1_N_G_L_CS
43,33,DCC1_N_G_R_CC
44,34,DCC1_N_G_R_CS
45,35,DCC1_N_D_L_CC
46,36,DCC1_N_D_L_CS
47,37,DCC1_N_D_R_CC
48,38,DCC1_N_D_R_CS
49,39,DINV2_INP_L
50,40,DINV2_INN_L
,92,
,92,
51,41,DINV2_OUT_L
52,42,DINV2_INP_R
53,43,DINV2_INN_R
54,44,DINV2_OUT_R
55,45,DINV1_INP_L
56,46,DINV1_INN_L
57,47,DINV1_OUT_L
58,48,DINV1_INP_R
59,49,DINV1_INN_R
60,50,DINV1_OUT_R
61,51,CC_P_G_CS
62,52,CC_P_G_CC
63,53,CC_P_D_CS
64,54,CC_P_D_CC
65,55,CC_N_G_CC
66,56,CC_N_G_CS
67,57,CC_N_D_CC
68,58,CC_N_D_CS
69,59,DCC3_P_G_L_CS
70,60,DCC3_P_G_L_CC
71,61,DCC3_P_G_R_CS
72,62,DCC3_P_G_R_CC
73,63,DCC3_P_D_L_CS
74,64,DCC3_P_D_L_CC
75,65,DCC3_P_D_R_CS
,92,
,92,
76,66,DCC3_P_D_R_CC
77,67,DCC2_P_G_L_CS
78,68,DCC2_P_G_L_CC
79,69,DCC2_P_G_R_CS
80,70,DCC2_P_G_R_CC
81,71,DCC2_P_D_L_CS
82,72,DCC2_P_D_L_CC
83,73,DCC2_P_D_R_CS
84,74,DCC2_P_D_R_CC
85,75,DCC1_P_G_L_CS
86,76,DCC1_P_G_L_CC
87,77,DCC1_P_G_R_CS
88,78,DCC1_P_G_R_CC
89,79,DCC1_P_D_L_CS
90,80,DCC1_P_D_L_CC
91,81,DCC1_P_D_R_CS
92,82,DCC1_P_D_R_CC
93,83,DCC4_P_G_L_CC
94,84,DCC4_P_G_L_CS
95,85,DCC4_P_G_R_CC
96,86,DCC4_P_G_R_CS
97,87,DCC4_P_D_L_CC
98,88,DCC4_P_D_L_CS
99,89,DCC4_P_D_R_CC
100,90,DCC4_P_D_R_CS
,92,
