,,SBUS,,,,,,,,,,,,RBUS,,,,,,,,
,pin,1a,1b,2a,2b,3a,3b,4a,4b,5a,5b,6a,6b,1,2,3,4,5,6,7,8,pin name
swmatrix_pin,1,1,2,49,50,97,98,145,146,193,194,241,242,289,312,335,358,381,404,427,450,DCC1_P_D_L_BOT
,2,3,4,51,52,99,100,147,148,195,196,243,244,290,313,336,359,382,405,428,451,DCC1_P_D_R_TOP
,3,5,6,53,54,101,102,149,150,197,198,245,246,291,314,337,360,383,406,429,452,DCC1_P_D_R_BOT
,4,7,8,55,56,103,104,151,152,199,200,247,248,292,315,338,361,384,407,430,453,INV1_INP_L
,5,9,10,57,58,105,106,153,154,201,202,249,250,293,316,339,362,385,408,431,454,INV1_INN_L
,6,11,12,59,60,107,108,155,156,203,204,251,252,294,317,340,363,386,409,432,455,INV1_OUT_L
,7,13,14,61,62,109,110,157,158,205,206,253,254,295,318,341,364,387,410,433,456,INV1_INP_R
,8,15,16,63,64,111,112,159,160,207,208,255,256,296,319,342,365,388,411,434,457,INV1_INN_R
,9,17,18,65,66,113,114,161,162,209,210,257,258,297,320,343,366,389,412,435,458,INV1_OUT_R
,10,19,20,67,68,115,116,163,164,211,212,259,260,298,321,344,367,390,413,436,459,INV2_INP_L
,11,21,22,69,70,117,118,165,166,213,214,261,262,299,322,345,368,391,414,437,460,INV2_INN_L
,12,23,24,71,72,119,120,167,168,215,216,263,264,300,323,346,369,392,415,438,461,INV2_OUT_L
,13,25,26,73,74,121,122,169,170,217,218,265,266,301,324,347,370,393,416,439,462,INV2_INP_R
,14,27,28,75,76,123,124,171,172,219,220,267,268,302,325,348,371,394,417,440,463,INV2_INN_R
,15,29,30,77,78,125,126,173,174,221,222,269,270,303,326,349,372,395,418,441,464,INV2_OUT_R
,16,31,32,79,80,127,128,175,176,223,224,271,272,304,327,350,373,396,419,442,465,DCC4_P_G_L_TOP
,17,33,34,81,82,129,130,177,178,225,226,273,274,305,328,351,374,397,420,443,466,DCC4_P_G_L_BOT
,18,35,36,83,84,131,132,179,180,227,228,275,276,306,329,352,375,398,421,444,467,DCC4_P_G_R_TOP
,19,37,38,85,86,133,134,181,182,229,230,277,278,307,330,353,376,399,422,445,468,DCC4_P_G_R_BOT
,20,39,40,87,88,135,136,183,184,231,232,279,280,308,331,354,377,400,423,446,469,DCC4_P_D_L_TOP
,21,41,42,89,90,137,138,185,186,233,234,281,282,309,332,355,378,401,424,447,470,DCC4_P_D_L_BOT
,22,43,44,91,92,139,140,187,188,235,236,283,284,310,333,356,379,402,425,448,471,DCC4_P_D_R_TOP
,23,45,46,93,94,141,142,189,190,237,238,285,286,311,334,357,380,403,426,449,472,DCC4_P_D_R_BOT
swmatrix_int_pin,A,47,48,95,96,143,144,191,192,239,240,287,288,x,x,x,x,x,x,x,x,
,,,,,,,,,,,,,,,,,,,,,,
swmatrix_pin,24,473,474,521,522,569,570,617,618,665,666,713,714,761,784,807,830,853,876,899,922,OTA_P_INP
,25,475,476,523,524,571,572,619,620,667,668,715,716,762,785,808,831,854,877,900,923,OTA_P_INN
,26,477,478,525,526,573,574,621,622,669,670,717,718,763,786,809,832,855,878,901,924,OTA_P_OUT
,27,479,480,527,528,575,576,623,624,671,672,719,720,764,787,810,833,856,879,902,925,CC_N_G_TOP
,28,481,482,529,530,577,578,625,626,673,674,721,722,765,788,811,834,857,880,903,926,CC_N_G_BOT
,29,483,484,531,532,579,580,627,628,675,676,723,724,766,789,812,835,858,881,904,927,CC_N_D_TOP
,30,485,486,533,534,581,582,629,630,677,678,725,726,767,790,813,836,859,882,905,928,CC_N_D_BOT
,31,487,488,535,536,583,584,631,632,679,680,727,728,768,791,814,837,860,883,906,929,DCC2_N_G_L_TOP
,32,489,490,537,538,585,586,633,634,681,682,729,730,769,792,815,838,861,884,907,930,DCC2_N_G_L_BOT
,33,491,492,539,540,587,588,635,636,683,684,731,732,770,793,816,839,862,885,908,931,DCC2_N_G_R_TOP
,34,493,494,541,542,589,590,637,638,685,686,733,734,771,794,817,840,863,886,909,932,DCC2_N_G_R_BOT
,35,495,496,543,544,591,592,639,640,687,688,735,736,772,795,818,841,864,887,910,933,DCC2_N_D_L_TOP
,36,497,498,545,546,593,594,641,642,689,690,737,738,773,796,819,842,865,888,911,934,DCC2_N_D_L_BOT
,37,499,500,547,548,595,596,643,644,691,692,739,740,774,797,820,843,866,889,912,935,DCC2_N_D_R_TOP
,38,501,502,549,550,597,598,645,646,693,694,741,742,775,798,821,844,867,890,913,936,DCC2_N_D_R_BOT
,39,503,504,551,552,599,600,647,648,695,696,743,744,776,799,822,845,868,891,914,937,DCC3_N_G_L_TOP
,40,505,506,553,554,601,602,649,650,697,698,745,746,777,800,823,846,869,892,915,938,DCC3_N_G_L_BOT
,41,507,508,555,556,603,604,651,652,699,700,747,748,778,801,824,847,870,893,916,939,DCC3_N_G_R_TOP
,42,509,510,557,558,605,606,653,654,701,702,749,750,779,802,825,848,871,894,917,940,DCC3_N_G_R_BOT
,43,511,512,559,560,607,608,655,656,703,704,751,752,780,803,826,849,872,895,918,941,DCC3_N_D_L_TOP
,44,513,514,561,562,609,610,657,658,705,706,753,754,781,804,827,850,873,896,919,942,DCC3_N_D_L_BOT
,45,515,516,563,564,611,612,659,660,707,708,755,756,782,805,828,851,874,897,920,943,DCC3_N_D_R_TOP
,46,517,518,565,566,613,614,661,662,709,710,757,758,783,806,829,852,875,898,921,944,DCC3_N_D_R_BOT
swmatrix_int_pin,B,519,520,567,568,615,616,663,664,711,712,759,760,x,x,x,x,x,x,x,x,
,,,,,,,,,,,,,,,,,,,,,,
swmatrix_pin,47,945,946,993,994,1041,1042,1089,1090,1137,1138,1185,1186,1233,1256,1279,1302,1325,1348,1371,1394,DCC3_P_G_L_TOP
,48,947,948,995,996,1043,1044,1091,1092,1139,1140,1187,1188,1234,1257,1280,1303,1326,1349,1372,1395,DCC3_P_G_L_BOT
,49,949,950,997,998,1045,1046,1093,1094,1141,1142,1189,1190,1235,1258,1281,1304,1327,1350,1373,1396,DCC3_P_G_R_TOP
,50,951,952,999,1000,1047,1048,1095,1096,1143,1144,1191,1192,1236,1259,1282,1305,1328,1351,1374,1397,DCC3_P_G_R_BOT
,51,953,954,1001,1002,1049,1050,1097,1098,1145,1146,1193,1194,1237,1260,1283,1306,1329,1352,1375,1398,DCC3_P_D_L_TOP
,52,955,956,1003,1004,1051,1052,1099,1100,1147,1148,1195,1196,1238,1261,1284,1307,1330,1353,1376,1399,DCC3_P_D_L_BOT
,53,957,958,1005,1006,1053,1054,1101,1102,1149,1150,1197,1198,1239,1262,1285,1308,1331,1354,1377,1400,DCC3_P_D_R_TOP
,54,959,960,1007,1008,1055,1056,1103,1104,1151,1152,1199,1200,1240,1263,1286,1309,1332,1355,1378,1401,DCC3_P_D_R_BOT
,55,961,962,1009,1010,1057,1058,1105,1106,1153,1154,1201,1202,1241,1264,1287,1310,1333,1356,1379,1402,DCC1_N_G_L_TOP
,56,963,964,1011,1012,1059,1060,1107,1108,1155,1156,1203,1204,1242,1265,1288,1311,1334,1357,1380,1403,DCC1_N_G_L_BOT
,57,965,966,1013,1014,1061,1062,1109,1110,1157,1158,1205,1206,1243,1266,1289,1312,1335,1358,1381,1404,DCC1_N_G_R_TOP
,58,967,968,1015,1016,1063,1064,1111,1112,1159,1160,1207,1208,1244,1267,1290,1313,1336,1359,1382,1405,DCC1_N_G_R_BOT
,59,969,970,1017,1018,1065,1066,1113,1114,1161,1162,1209,1210,1245,1268,1291,1314,1337,1360,1383,1406,DCC1_N_D_L_TOP
,60,971,972,1019,1020,1067,1068,1115,1116,1163,1164,1211,1212,1246,1269,1292,1315,1338,1361,1384,1407,DCC1_N_D_L_BOT
,61,973,974,1021,1022,1069,1070,1117,1118,1165,1166,1213,1214,1247,1270,1293,1316,1339,1362,1385,1408,DCC1_N_D_R_TOP
,62,975,976,1023,1024,1071,1072,1119,1120,1167,1168,1215,1216,1248,1271,1294,1317,1340,1363,1386,1409,DCC1_N_D_R_BOT
,63,977,978,1025,1026,1073,1074,1121,1122,1169,1170,1217,1218,1249,1272,1295,1318,1341,1364,1387,1410,DCC2_P_G_L_TOP
,64,979,980,1027,1028,1075,1076,1123,1124,1171,1172,1219,1220,1250,1273,1296,1319,1342,1365,1388,1411,DCC2_P_G_L_BOT
,65,981,982,1029,1030,1077,1078,1125,1126,1173,1174,1221,1222,1251,1274,1297,1320,1343,1366,1389,1412,DCC2_P_G_R_TOP
,66,983,984,1031,1032,1079,1080,1127,1128,1175,1176,1223,1224,1252,1275,1298,1321,1344,1367,1390,1413,DCC2_P_G_R_BOT
,67,985,986,1033,1034,1081,1082,1129,1130,1177,1178,1225,1226,1253,1276,1299,1322,1345,1368,1391,1414,DCC2_P_D_L_TOP
,68,987,988,1035,1036,1083,1084,1131,1132,1179,1180,1227,1228,1254,1277,1300,1323,1346,1369,1392,1415,DCC2_P_D_L_BOT
,69,989,990,1037,1038,1085,1086,1133,1134,1181,1182,1229,1230,1255,1278,1301,1324,1347,1370,1393,1416,DCC2_P_D_R_TOP
swmatrix_int_pin,C,991,992,1039,1040,1087,1088,1135,1136,1183,1184,1231,1232,x,x,x,x,x,x,x,x,
,,,,,,,,,,,,,,,,,,,,,,
swmatrix_pin,70,1417,1418,1465,1466,1513,1514,1561,1562,1609,1610,1657,1658,1705,1728,1751,1774,1797,1820,1843,1866,DCC2_P_D_R_BOT
,71,1419,1420,1467,1468,1515,1516,1563,1564,1611,1612,1659,1660,1706,1729,1752,1775,1798,1821,1844,1867,OTA_N_INP
,72,1421,1422,1469,1470,1517,1518,1565,1566,1613,1614,1661,1662,1707,1730,1753,1776,1799,1822,1845,1868,OTA_N_INN
,73,1423,1424,1471,1472,1519,1520,1567,1568,1615,1616,1663,1664,1708,1731,1754,1777,1800,1823,1846,1869,OTA_N_OUT
,74,1425,1426,1473,1474,1521,1522,1569,1570,1617,1618,1665,1666,1709,1732,1755,1778,1801,1824,1847,1870,CC_P_G_TOP
,75,1427,1428,1475,1476,1523,1524,1571,1572,1619,1620,1667,1668,1710,1733,1756,1779,1802,1825,1848,1871,CC_P_G_BOT
,76,1429,1430,1477,1478,1525,1526,1573,1574,1621,1622,1669,1670,1711,1734,1757,1780,1803,1826,1849,1872,CC_P_D_TOP
,77,1431,1432,1479,1480,1527,1528,1575,1576,1623,1624,1671,1672,1712,1735,1758,1781,1804,1827,1850,1873,CC_P_D_BOT
,78,1433,1434,1481,1482,1529,1530,1577,1578,1625,1626,1673,1674,1713,1736,1759,1782,1805,1828,1851,1874,DCC4_N_G_L_TOP
,79,1435,1436,1483,1484,1531,1532,1579,1580,1627,1628,1675,1676,1714,1737,1760,1783,1806,1829,1852,1875,DCC4_N_G_L_BOT
,80,1437,1438,1485,1486,1533,1534,1581,1582,1629,1630,1677,1678,1715,1738,1761,1784,1807,1830,1853,1876,DCC4_N_G_R_TOP
,81,1439,1440,1487,1488,1535,1536,1583,1584,1631,1632,1679,1680,1716,1739,1762,1785,1808,1831,1854,1877,DCC4_N_G_R_BOT
,82,1441,1442,1489,1490,1537,1538,1585,1586,1633,1634,1681,1682,1717,1740,1763,1786,1809,1832,1855,1878,DCC4_N_D_L_TOP
,83,1443,1444,1491,1492,1539,1540,1587,1588,1635,1636,1683,1684,1718,1741,1764,1787,1810,1833,1856,1879,DCC4_N_D_L_BOT
,84,1445,1446,1493,1494,1541,1542,1589,1590,1637,1638,1685,1686,1719,1742,1765,1788,1811,1834,1857,1880,DCC4_N_D_R_TOP
,85,1447,1448,1495,1496,1543,1544,1591,1592,1639,1640,1687,1688,1720,1743,1766,1789,1812,1835,1858,1881,DCC4_N_D_R_BOT
,86,1449,1450,1497,1498,1545,1546,1593,1594,1641,1642,1689,1690,1721,1744,1767,1790,1813,1836,1859,1882,DCC1_P_G_L_TOP
,87,1451,1452,1499,1500,1547,1548,1595,1596,1643,1644,1691,1692,1722,1745,1768,1791,1814,1837,1860,1883,DCC1_P_G_L_BOT
,88,1453,1454,1501,1502,1549,1550,1597,1598,1645,1646,1693,1694,1723,1746,1769,1792,1815,1838,1861,1884,DCC1_P_G_R_TOP
,89,1455,1456,1503,1504,1551,1552,1599,1600,1647,1648,1695,1696,1724,1747,1770,1793,1816,1839,1862,1885,DCC1_P_G_R_BOT
,90,1457,1458,1505,1506,1553,1554,1601,1602,1649,1650,1697,1698,1725,1748,1771,1794,1817,1840,1863,1886,DCC1_P_D_L_TOP
,91,1459,1460,1507,1508,1555,1556,1603,1604,1651,1652,1699,1700,1726,1749,1772,1795,1818,1841,1864,1887,VDD
,92,1461,1462,1509,1510,1557,1558,1605,1606,1653,1654,1701,1702,1727,1750,1773,1796,1819,1842,1865,1888,VSS
swmatrix_int_pin,D,1463,1464,1511,1512,1559,1560,1607,1608,1655,1656,1703,1704,x,x,x,x,x,x,x,x,
