Reg Names,Reg Numbers
DCC1_P_L_1,1889
DCC1_P_L_2,1890
DCC1_P_L_4,1891
DCC1_P_L_8,1892
DCC1_P_L_16,1893
DCC1_P_R_1,1894
DCC1_P_R_2,1895
DCC1_P_R_4,1896
DCC1_P_R_8,1897
DCC1_P_R_16,1898
OTA_N_1,1899
OTA_N_2,1900
OTA_N_4,1901
OTA_N_8,1902
OTA_N_16,1903
DCC2_P_L_1,1904
DCC2_P_L_2,1905
DCC2_P_L_4,1906
DCC2_P_L_8,1907
DCC2_P_L_16,1908
DCC2_P_R_1,1909
DCC2_P_R_2,1910
DCC2_P_R_4,1911
DCC2_P_R_8,1912
DCC2_P_R_16,1913
DCC1_N_L_1,1914
DCC1_N_L_2,1915
DCC1_N_L_4,1916
DCC1_N_L_8,1917
DCC1_N_L_16,1918
DCC1_N_R_1,1919
DCC1_N_R_2,1920
DCC1_N_R_4,1921
DCC1_N_R_8,1922
DCC1_N_R_16,1923
DCC3_P_L_1,1924
DCC3_P_L_2,1925
DCC3_P_L_4,1926
DCC3_P_L_8,1927
DCC3_P_L_16,1928
DCC3_P_R_1,1929
DCC3_P_R_2,1930
DCC3_P_R_4,1931
DCC3_P_R_8,1932
DCC3_P_R_16,1933
CC_N_1,1934
CC_N_2,1935
CC_N_4,1936
CC_N_8,1937
CC_N_16,1938
DCC2_N_L_1,1939
DCC2_N_L_2,1940
DCC2_N_L_4,1941
DCC2_N_L_8,1942
DCC2_N_L_16,1943
DCC2_N_R_1,1944
DCC2_N_R_2,1945
DCC2_N_R_4,1946
DCC2_N_R_8,1947
DCC2_N_R_16,1948
DCC3_N_L_1,1949
DCC3_N_L_2,1950
DCC3_N_L_4,1951
DCC3_N_L_8,1952
DCC3_N_L_16,1953
DCC3_N_R_1,1954
DCC3_N_R_2,1955
DCC3_N_R_4,1956
DCC3_N_R_8,1957
DCC3_N_R_16,1958
OTA_P_1,1959
OTA_P_2,1960
OTA_P_4,1961
OTA_P_8,1962
OTA_P_16,1963
DCC4_P_L_1,1964
DCC4_P_L_2,1965
DCC4_P_L_4,1966
DCC4_P_L_8,1967
DCC4_P_L_16,1968
DCC4_P_R_1,1969
DCC4_P_R_2,1970
DCC4_P_R_4,1971
DCC4_P_R_8,1972
DCC4_P_R_16,1973
DINV1_L_1,1974
DINV1_L_2,1975
DINV1_L_4,1976
DINV1_L_8,1977
DINV1_L_16,1978
DINV1_R_1,1979
DINV1_R_2,1980
DINV1_R_4,1981
DINV1_R_8,1982
DINV1_R_16,1983
DINV2_L_1,1984
DINV2_L_2,1985
DINV2_L_4,1986
DINV2_L_8,1987
DINV2_L_16,1988
DINV2_R_1,1989
DINV2_R_2,1990
DINV2_R_4,1991
DINV2_R_8,1992
DINV2_R_16,1993
CC_P_1,1994
CC_P_2,1995
CC_P_4,1996
CC_P_8,1997
CC_P_16,1998
DCC4_N_L_1,1999
DCC4_N_L_2,2000
DCC4_N_L_4,2001
DCC4_N_L_8,2002
DCC4_N_L_16,2003
DCC4_N_R_1,2004
DCC4_N_R_2,2005
DCC4_N_R_4,2006
DCC4_N_R_8,2007
DCC4_N_R_16,2008
