Reg Names,Reg Numbers
OTA_P_1,1889
OTA_P_2,1890
OTA_P_4,1891
OTA_P_8,1892
OTA_P_16,1893
DCC1_P_L_1,1894
DCC1_P_L_2,1895
DCC1_P_L_4,1896
DCC1_P_L_8,1897
DCC1_P_L_16,1898
DCC1_P_R_1,1899
DCC1_P_R_2,1900
DCC1_P_R_4,1901
DCC1_P_R_8,1902
DCC1_P_R_16,1903
DCC2_P_L_1,1904
DCC2_P_L_2,1905
DCC2_P_L_4,1906
DCC2_P_L_8,1907
DCC2_P_L_16,1908
DCC2_P_R_1,1909
DCC2_P_R_2,1910
DCC2_P_R_4,1911
DCC2_P_R_8,1912
DCC2_P_R_16,1913
DCC3_P_L_1,1914
DCC3_P_L_2,1915
DCC3_P_L_4,1916
DCC3_P_L_8,1917
DCC3_P_L_16,1918
DCC3_P_R_1,1919
DCC3_P_R_2,1920
DCC3_P_R_4,1921
DCC3_P_R_8,1922
DCC3_P_R_16,1923
DCC4_P_L_1,1924
DCC4_P_L_2,1925
DCC4_P_L_4,1926
DCC4_P_L_8,1927
DCC4_P_L_16,1928
DCC4_P_R_1,1929
DCC4_P_R_2,1930
DCC4_P_R_4,1931
DCC4_P_R_8,1932
DCC4_P_R_16,1933
CC_N_1,1934
CC_N_2,1935
CC_N_4,1936
CC_N_8,1937
CC_N_16,1938
CC_P_1,1939
CC_P_2,1940
CC_P_4,1941
CC_P_8,1942
CC_P_16,1943
DINV1_L_1,1944
DINV1_L_2,1945
DINV1_L_4,1946
DINV1_L_8,1947
DINV1_L_16,1948
DINV1_R_1,1949
DINV1_R_2,1950
DINV1_R_4,1951
DINV1_R_8,1952
DINV1_R_16,1953
DINV2_L_1,1954
DINV2_L_2,1955
DINV2_L_4,1956
DINV2_L_8,1957
DINV2_L_16,1958
DINV2_R_1,1959
DINV2_R_2,1960
DINV2_R_4,1961
DINV2_R_8,1962
DINV2_R_16,1963
DCC1_N_L_1,1964
DCC1_N_L_2,1965
DCC1_N_L_4,1966
DCC1_N_L_8,1967
DCC1_N_L_16,1968
DCC1_N_R_1,1969
DCC1_N_R_2,1970
DCC1_N_R_4,1971
DCC1_N_R_8,1972
DCC1_N_R_16,1973
DCC2_N_L_1,1974
DCC2_N_L_2,1975
DCC2_N_L_4,1976
DCC2_N_L_8,1977
DCC2_N_L_16,1978
DCC2_N_R_1,1979
DCC2_N_R_2,1980
DCC2_N_R_4,1981
DCC2_N_R_8,1982
DCC2_N_R_16,1983
DCC3_N_L_1,1984
DCC3_N_L_2,1985
DCC3_N_L_4,1986
DCC3_N_L_8,1987
DCC3_N_L_16,1988
DCC3_N_R_1,1989
DCC3_N_R_2,1990
DCC3_N_R_4,1991
DCC3_N_R_8,1992
DCC3_N_R_16,1993
DCC4_N_L_1,1994
DCC4_N_L_2,1995
DCC4_N_L_4,1996
DCC4_N_L_8,1997
DCC4_N_L_16,1998
DCC4_N_R_1,1999
DCC4_N_R_2,2000
DCC4_N_R_4,2001
DCC4_N_R_8,2002
DCC4_N_R_16,2003
OTA_N_1,2004
OTA_N_2,2005
OTA_N_4,2006
OTA_N_8,2007
OTA_N_16,2008
